http://dbpedia.org/ontology/Person;;;List all the musicals with music by <A>.;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Musical ; dbo:musicBy <A> }";"select distinct ?a where { ?uri rdf:type dbo:Musical ; dbo:musicBy ?a }";1
http://dbpedia.org/ontology/Person;;;Who was the wife of U.S. president <A>?;SELECT DISTINCT ?uri WHERE { <A> dbo:spouse ?uri };select distinct ?a where { ?a dbo:spouse ?uri };3
http://dbpedia.org/ontology/TelevisionShow;;;Who is the host of the <A>?;SELECT DISTINCT ?uri WHERE { <A> dbo:presenter ?uri };select distinct ?a where { ?a dbo:presenter ?uri };4
http://dbpedia.org/ontology/Film;;;How much did <A> cost?;SELECT DISTINCT ?n WHERE { <A> dbo:budget ?n };select distinct ?a where { ?a dbo:budget ?n };5
http://dbpedia.org/ontology/Event;;;When did <A> commence?;SELECT DISTINCT ?d WHERE { <A> dbo:date ?d };select distinct ?a where { ?a dbo:date ?d };7
http://dbpedia.org/ontology/Road;;;In which city does the <A> end?;SELECT DISTINCT ?uri WHERE { <A> dbo:routeEnd ?uri };select distinct ?a where { ?a dbo:routeEnd ?uri };8
;;;Who developed <A>?;SELECT DISTINCT ?uri WHERE { ?uri dbo:product <h<A>_(software)> };select distinct ?a where { ?uri dbo:product <h?a_(software)> };9
http://dbpedia.org/ontology/Person;;;What did <A> die from?;SELECT DISTINCT ?uri WHERE { <A> dbo:deathCause ?uri };select distinct ?a where { ?a dbo:deathCause ?uri };11
http://dbpedia.org/ontology/Place;;;Which cities does the <A> flow through?;SELECT DISTINCT ?uri WHERE { <A> <B> ?uri };select distinct ?a,?b where { ?a ?b ?uri };12
http://dbpedia.org/ontology/Person;;http://dbpedia.org/ontology/Company;Which books by <A> were <B>ed by <C>?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Book ; <B>er <C> ; dbo:author <A> }";"select distinct ?a,?b,?c where { ?uri rdf:type dbo:Book ; ?ber ?c ; dbo:author ?a }";13
http://dbpedia.org/ontology/Person;;;How tall is <A>?;SELECT DISTINCT ?height WHERE { <A> dbo:height ?height };select distinct ?a where { ?a dbo:height ?height };14
;http://dbpedia.org/ontology/Artwork;;Which <A> exhibits The <B> by Munch?;SELECT DISTINCT ?uri WHERE { <B> <A> ?uri };select distinct ?a,?b where { ?b ?a ?uri };15
;;;Is <A> married?;ASK WHERE { <A> dbo:spouse ?uri };select distinct ?a where { ?a dbo:spouse ?uri };17
;;;Who discovered <B>?;SELECT DISTINCT ?uri WHERE { <h<B>_(dwarf_planet)> <A> ?uri };select distinct ?a,?b where { <h?b_(dwarf_planet)> ?a ?uri };18
;http://dbpedia.org/ontology/Bridge;;Which river does the <B> <A>?;SELECT DISTINCT ?uri WHERE { <B> <A>es ?uri };select distinct ?a,?b where { ?b ?aes ?uri };19
;http://dbpedia.org/ontology/Place;;Who is the <A> of <B>'s ice hockey team?;"SELECT DISTINCT ?uri WHERE { ?x dbo:city <B> ; dbo:league res:Turkish_Ice_Hockey_First_League ; <A> ?uri }";"select distinct ?a,?b where { ?x dbo:city ?b ; dbo:league res:Turkish_Ice_Hockey_First_League ; ?a ?uri }";22
