http://dbpedia.org/ontology/Person;;;What is the alma mater of the chancellor of Germany <A>?;SELECT ?Almamater WHERE { <A> dbo:almaMater ?Almamater };select distinct ?a where { ?a dbo:almaMater ?Almamater };1
;;;How large is the <A> of UK?;SELECT ?area WHERE { dbr:United_Kingdom <A>Total ?area };select distinct ?a where { dbr:United_Kingdom ?aTotal ?area };2
http://dbpedia.org/ontology/Book;;;Who is the author of the interpretation of dreams?;SELECT ?Author WHERE { <A> dbo:author ?Author };select distinct ?a where { ?a dbo:author ?Author };3
http://dbpedia.org/ontology/Person;;;What is the birth name of <A>?;SELECT ?bn WHERE { <A> dbo:birthName ?bn };select distinct ?a where { ?a dbo:birthName ?bn };4
http://dbpedia.org/ontology/Person;;;How many awards has <A>?;SELECT (COUNT(?Awards) AS ?Counter) WHERE { <A> dbp:awards ?Awards };select distinct ?a where { ?a dbp:awards ?Awards };6
http://dbpedia.org/ontology/Airport;;;how much is the elevation of <A> ?;SELECT ?ele WHERE { <A> dbo:elevation ?ele } LIMIT 1;select distinct ?a where { ?a dbo:elevation ?ele };10
http://dbpedia.org/ontology/Language;;;how many foreigners speak German?;SELECT ?Ger_lang WHERE { <A> dbp:speakers ?Ger_lang } OFFSET 1 LIMIT 1;select distinct ?a where { ?a dbp:speakers ?Ger_lang };15
http://dbpedia.org/ontology/Person;;;Where is the birthplace of <A>?;SELECT ?Goethe WHERE { <A> dbo:birthPlace ?Goethe };select distinct ?a where { ?a dbo:birthPlace ?Goethe };16
;;;Where is the <A> of Carolina reaper?;SELECT ?uri WHERE { dbr:Carolina_Reaper <A> ?uri };select distinct ?a where { dbr:Carolina_Reaper ?a ?uri };17
http://dbpedia.org/ontology/Place;;;What is the nick name of <A>?;SELECT ?nm WHERE { <A> foaf:nick ?nm };select distinct ?a where { ?a foaf:nick ?nm };19
http://dbpedia.org/ontology/Place;;;What is the percentage of area water in <A>?;SELECT ?percentage WHERE { <A> dbo:percentageOfAreaWater ?percentage };select distinct ?a where { ?a dbo:percentageOfAreaWater ?percentage };21
http://dbpedia.org/ontology/Place;;;How much is the <B> of <A>?;SELECT ?pIraq WHERE { <A> <B>Total ?pIraq };select distinct ?a,?b where { ?a ?bTotal ?pIraq };22
;http://dbpedia.org/ontology/Place;;What is the <A> of <B>?;SELECT ?pop WHERE { <B> <A>Total ?pop };select distinct ?a,?b where { ?b ?aTotal ?pop };24
http://dbpedia.org/ontology/Person;;;How much is the population density rank of <A>?;SELECT ?rank WHERE { <A> dbp:populationDensityRank ?rank };select distinct ?a where { ?a dbp:populationDensityRank ?rank };25
http://dbpedia.org/ontology/ProgrammingLanguage;;;What is the relation between Resource Description Framework and <A>?;SELECT ?rdf_owl WHERE { <A> dbo:abstract ?rdf_owl } LIMIT 1;select distinct ?a where { ?a dbo:abstract ?rdf_owl };26
http://dbpedia.org/ontology/Book;;;What is the original title of the interpretation of dreams?;SELECT ?title WHERE { <A> foaf:name ?title };select distinct ?a where { ?a foaf:name ?title };28
http://dbpedia.org/ontology/Person;;;When was the death  of  <A>?;SELECT ?x WHERE { <A> dbo:deathDate ?x } LIMIT 1;select distinct ?a where { ?a dbo:deathDate ?x };31
http://dbpedia.org/ontology/Software;;;With how many countries <A> has <B>?;SELECT ?border WHERE { <A> <B> ?border } LIMIT 8;select distinct ?a,?b where { ?a ?b ?border };32
;;;What is the smallest city by area in <A>?;"SELECT ?city WHERE { ?m skos:broader <A> . ?city dct:subject ?m ; dbo:areaTotal ?area } ORDER BY ?area LIMIT 1";"select distinct ?a where { ?m skos:broader ?a . ?city dct:subject ?m ; dbo:areaTotal ?area }";34
;;;What is the <A> city in america?;SELECT ?lcity WHERE { dbr:United_States <A>City ?lcity };select distinct ?a where { dbr:United_States ?aCity ?lcity };36
;http://dbpedia.org/ontology/Place;;What is the <A> mountain in the <B>?;SELECT ?m  WHERE { <B> <A> ?m} ;select distinct ?a,?b where { ?b ?a ?m};38
;;;Who is 8th president of US?;SELECT ?name WHERE { <A>_of_the_United_States dbo:wikiPageRedirects ?link . ?link dbp:name ?name };select distinct ?a where { ?a_of_the_United_States dbo:wikiPageRedirects ?link . ?link dbp:name ?name };40
;;;Which <A> does an elephant belong?;SELECT ?species WHERE { dbr:Elephant <A> ?species };select distinct ?a where { dbr:Elephant ?a ?species };43
